id;age;trial;score
SY;34;1;14.3
SY;34;2;21.4
SY;34;3;27.6
SY;34;4;31.1
SY;34;5;33.2
WL;33;1;13.2
WL;33;2;21.4
WL;33;3;23.3
WL;33;4;30
WL;33;5;38.6
ZN;43;1;15.9
ZN;43;2;23.4
ZN;43;3;22
ZN;43;4;29
ZN;43;5;33.6
ME;26;1;13.1
ME;26;2;22.7
ME;26;3;28.1
ME;26;4;32.8
ME;26;5;43
ZP;29;1;15.8
ZP;29;2;16.3
ZP;29;3;26.8
ZP;29;4;33.4
ZP;29;5;36.8
TM;26;1;9.1
TM;26;2;14.4
TM;26;3;25.3
TM;26;4;31.7
TM;26;5;39.2
JA;38;1;21.2
JA;38;2;28.1
JA;38;3;33.3
JA;38;4;37
JA;38;5;39
BE;23;1;20.1
BE;23;2;28.7
BE;23;3;32.1
BE;23;4;41
BE;23;5;50.7
EW;35;1;14.7
EW;35;2;22.5
EW;35;3;20.8
EW;35;4;31.3
EW;35;5;39.8
AC;23;1;7.6
AC;23;2;17.3
AC;23;3;21.6
AC;23;4;31.5
AC;23;5;40.4
LL;31;1;15.9
LL;31;2;23.7
LL;31;3;28.7
LL;31;4;35.2
LL;31;5;40.5
XU;39;1;18.2
XU;39;2;22.7
XU;39;3;22.7
XU;39;4;26.7
XU;39;5;35.9
JD;36;1;16.3
JD;36;2;21.5
JD;36;3;28.1
JD;36;4;35.8
JD;36;5;40.8
VD;23;1;16
VD;23;2;23.6
VD;23;3;32.6
VD;23;4;36.8
VD;23;5;49.9
BA;47;1;18.3
BA;47;2;17.2
BA;47;3;21.6
BA;47;4;20.7
BA;47;5;29
ZS;23;1;13.8
ZS;23;2;24
ZS;23;3;25.8
ZS;23;4;36.4
ZS;23;5;39.1
WY;41;1;17.8
WY;41;2;22.4
WY;41;3;22.7
WY;41;4;28.8
WY;41;5;33.8
HV;41;1;19
HV;41;2;20
HV;41;3;23.2
HV;41;4;27.3
HV;41;5;30.2
SK;43;1;14.9
SK;43;2;18.8
SK;43;3;21.7
SK;43;4;22.6
SK;43;5;26.8
RK;48;1;17.1
RK;48;2;19.6
RK;48;3;26.4
RK;48;4;28.6
RK;48;5;31.2
CC;30;1;14.8
CC;30;2;23.3
CC;30;3;28.5
CC;30;4;34.6
CC;30;5;41.8
WY;43;1;18.4
WY;43;2;23.6
WY;43;3;25.3
WY;43;4;30.1
WY;43;5;32.5
FR;33;1;17
FR;33;2;17.1
FR;33;3;27.3
FR;33;4;33.5
FR;33;5;32.1
RA;33;1;13.6
RA;33;2;20.9
RA;33;3;23.9
RA;33;4;28.2
RA;33;5;37.7
AC;31;1;12.8
AC;31;2;14.4
AC;31;3;20.7
AC;31;4;31.9
AC;31;5;34.4
ED;47;1;19.1
ED;47;2;23.7
ED;47;3;24.2
ED;47;4;28.3
ED;47;5;32.6
YA;34;1;15.4
YA;34;2;18.1
YA;34;3;28
YA;34;4;30.5
YA;34;5;38.2
AL;34;1;20.9
AL;34;2;20
AL;34;3;29
AL;34;4;34.4
AL;34;5;43.9
HP;46;1;23.5
HP;46;2;20
HP;46;3;27
HP;46;4;29.1
HP;46;5;36.6
HO;45;1;13.5
HO;45;2;20.5
HO;45;3;22.1
HO;45;4;25.4
HO;45;5;26.6
